"description","biddable","startprice","condition","cellular","carrier","color","storage","productline","sold","UniqueID",".src"
"",0,300,"Used","0","None","Space Gray","16","iPad Air",1,10277,"Train"
"",1,100,"Used","1","AT&T","White","64","iPad 2",1,10278,"Train"
"Excellent condition - 100% functional - Apple warranty valid until March 1, 2016 - There is 1 light, ",0,399,"Used","0","None","Gold","16","iPad Air 2",0,10279,"Train"
"",1,329.99,"New","0","None","Space Gray","64","iPad mini 3",1,10280,"Train"
"Adult owned",1,0.01,"Used","1","Verizon","Unknown","128","iPad 4",1,10281,"Train"
"This item is in Great cosmetic condition. It may have small scratches and light wear on the screen. ",0,199.99,"Used","0","None","Black","64","iPad 2",0,10282,"Train"
"Pristine condition, comes with a case and stylus.",1,20,"Used","0","None","Unknown","64","iPad 1",0,10283,"Train"
"",1,100,"Used","0","None","Space Gray","16","iPad Air",1,10284,"Train"
"",1,0.01,"Used","Unknown","Unknown","Unknown","Unknown","iPad 1",1,10285,"Train"
"",1,41,"Used","1","Unknown","Unknown","32","Unknown",1,10286,"Train"
"",0,439.99,"New","0","None","Unknown","16","iPad Air 2",0,10287,"Train"
"",1,74.99,"Used","0","None","White","16","iPad 2",1,10288,"Train"
"Screen has had a protector on it since date of purchase.  iPad will be shipped with screen protector ",1,250,"Used","1","Verizon","Black","64","iPad 3",1,10289,"Train"
"Only used a handful of times, like new",1,50,"Used","0","None","Unknown","16","iPad 2",1,10290,"Train"
"",1,0.99,"Used","0","None","White","16","iPad mini",1,10291,"Train"
"",1,0.99,"Used","1","Verizon","Black","64","iPad 3",1,10292,"Train"
"",1,5,"Used","Unknown","Unknown","White","16","Unknown",1,10293,"Train"
"",1,19.99,"Used","0","None","Black","16","iPad 1",1,10294,"Train"
"",1,50,"Used","1","AT&T","Black","16","iPad 1",1,10295,"Train"
"",1,89.99,"Used","0","None","Black","16","iPad mini",0,10296,"Train"
"",1,490,"New","0","None","Unknown","64","iPad Air 2",1,10297,"Train"
"",1,99,"New","0","None","Space Gray","16","iPad mini",1,10298,"Train"
"",1,200,"Used","0","None","White","16","iPad 3",0,10299,"Train"
"4-5 semi deep 1&#034; scratches near top middle portion of screen.  Not really possible to photograph ",1,39.99,"Used","0","None","Black","16","iPad 1",1,10300,"Train"
"",1,58,"Used","0","None","Black","32","iPad 1",1,10301,"Train"
"Great iPad, no scratch, been kept in case at all times.  I have zombie skin on it but can easily be ",1,225,"Used","0","None","Unknown","16","iPad 4",0,10302,"Train"
"used but in extremely good condition",1,50,"New other (see details)","0","None","Unknown","16","iPad 2",1,10303,"Train"
"",1,200,"Used","0","None","Space Gray","32","iPad Air",1,10304,"Train"
"Item shows signs of heavy wear",1,0.99,"Used","1","Verizon","Unknown","32","iPad mini",1,10305,"Train"
"",0,80,"Used","0","None","Black","16","iPad 1",1,10306,"Train"
"",1,250,"Used","0","None","Unknown","64","iPad Air 2",1,10307,"Train"
"",0,325,"New","0","None","White","16","iPad mini 3",0,10308,"Train"
"",1,25,"Used","0","None","Black","16","iPad 3",1,10309,"Train"
"There is a small scratch in the top left of the iPad and is invisible when in use and is very hard ",1,100,"Used","0","None","Unknown","32","iPad mini",1,10310,"Train"
"Item is in fantastic condition. Has been used for about 3 years, but has been kept in a padfolio ",1,185,"Used","0","None","White","32","iPad 4",1,10311,"Train"
"",0,305,"New other (see details)","1","Unknown","Black","32","iPad 4",1,10312,"Train"
"",1,99.99,"Used","0","None","Unknown","16","iPad 2",1,10313,"Train"
"",1,500,"New","1","T-Mobile","Space Gray","128","iPad Air",0,10314,"Train"
"",0,350,"New","0","None","Unknown","16","iPad mini 2",0,10315,"Train"
"",0,187.99,"Seller refurbished","0","None","Unknown","16","iPad mini 2",0,10316,"Train"
"We are selling good quality iPads that have been fully tested by an Apple Certified Technician. The ",0,109.98,"Seller refurbished","1","AT&T","Unknown","64","iPad 1",0,10317,"Train"
"Tested and Working. Digitizer Flickers, Changing Colors. Minor Dent on 2 Corners. Includes a Power ",1,9.99,"Used","0","None","Unknown","32","iPad 2",1,10318,"Train"
"",0,345,"New","0","None","Gold","16","iPad mini 3",1,10319,"Train"
"",0,350,"Used","1","AT&T","White","32","iPad Air",0,10320,"Train"
"",1,19.95,"Used","0","None","Black","64","iPad 1",1,10321,"Train"
"",1,5,"Used","0","None","Black","16","iPad 3",1,10322,"Train"
"I would describe this item as excellent with no scratches. Well taken care of. Original owner.",1,100,"Used","0","None","White","16","iPad 2",1,10323,"Train"
"",1,70,"Used","0","None","Black","16","iPad 1",1,10324,"Train"
"",0,124,"Used","0","None","Black","16","iPad 2",0,10325,"Train"
"",1,125,"Used","0","None","Unknown","16","iPad mini",1,10326,"Train"
"Used - Comes with charger. In Excellent Condition",1,0.99,"Used","0","None","Space Gray","16","iPad Air",1,10327,"Train"
"",0,80,"Used","1","AT&T","Black","16","iPad 1",1,10328,"Train"
"Item has original packaging. Original packaging has stickers on box. Minor screen flaw (Does not ",1,97.5,"Used","1","Verizon","Unknown","32","iPad 2",1,10329,"Train"
"",1,0.1,"New other (see details)","0","None","White","32","iPad 2",1,10330,"Train"
"No noticeable blemishes, screen in very good shape. Has always been used with case and cover. ",1,100,"Used","1","AT&T","Space Gray","128","iPad Air",1,10331,"Train"
"Some sighs of light wear tiny scratches",0,375,"Used","1","Verizon","Unknown","64","iPad 4",1,10332,"Train"
"Item is in nice shape. Has a few scuffs on the backside of the iPad.",1,20,"Used","0","None","White","16","iPad 1",1,10333,"Train"
"",1,99.75,"Used","0","None","White","16","iPad 4",1,10334,"Train"
"This item is used but well taken care of no cosmetic wears at all . Any other questions feel free to ",0,250,"Used","0","None","Unknown","16","iPad mini",0,10335,"Train"
"",1,70,"Used","0","None","Black","16","iPad 2",1,10336,"Train"
"",1,100,"Used","0","None","Unknown","16","iPad mini 2",1,10337,"Train"
"",1,400,"Used","0","None","Unknown","64","iPad Air 2",1,10338,"Train"
"",1,48,"Used","0","None","Black","16","iPad 1",1,10339,"Train"
"FULLY FUNCTIONAL",1,0.99,"Seller refurbished","1","AT&T","Black","16","iPad 1",1,10340,"Train"
"",1,40,"Used","Unknown","Unknown","White","Unknown","Unknown",1,10341,"Train"
"Previously Owned. Please read the entire auction. Tablet has only a very light scratches on back of ",1,295,"Used","1","Verizon","Space Gray","16","iPad Air 2",1,10342,"Train"
"IN VERY GOOD CONDITION!!!!",0,130,"Used","0","None","White","16","iPad mini",1,10343,"Train"
"",1,310,"New","0","None","White","16","iPad Air 2",1,10344,"Train"
"The screen is broken but can be easily fixed. The isn&#039;t shattered rather just cracked and very ",1,80,"Used","0","None","Unknown","16","iPad 1",1,10345,"Train"
"used for a few months, still in perfect condition",0,250,"Used","0","None","White","16","iPad mini Retina",1,10346,"Train"
"",1,150,"Used","0","None","Black","64","iPad mini",0,10347,"Train"
"Good condition.",1,99.99,"Used","0","None","Black","16","Unknown",1,10348,"Train"
"The screen has a few scratches. The back has scratches and scuffs and a few small dents.",1,40,"Used","1","AT&T","Unknown","16","iPad 1",1,10349,"Train"
"",0,75,"Used","0","None","Black","64","iPad 1",1,10350,"Train"
"",1,140,"Used","0","None","Black","16","iPad 2",0,10351,"Train"
"",1,50,"Seller refurbished","0","None","Black","32","iPad 1",1,10352,"Train"
"Like New",0,292.5,"Used","0","None","Unknown","16","iPad Air",1,10353,"Train"
"",1,100,"Used","0","None","Unknown","64","iPad mini",1,10354,"Train"
"Minor scrapes, dings, scuffs and scratches associated with normal medium duty wear and use. No major ",1,74,"Used","1","AT&T","Black","32","iPad 2",1,10355,"Train"
"",1,134.61,"Used","0","None","White","16","iPad 3",1,10356,"Train"
"Excellent condition. No scratches.",1,100,"New other (see details)","0","None","Unknown","16","iPad mini",1,10357,"Train"
"",1,125,"Used","0","None","White","16","iPad 2",1,10358,"Train"
"",0,275,"Used","1","Verizon","Unknown","32","iPad mini",0,10359,"Train"
"used but always in case and has no dents or cracks.  works great with good battery life.",1,0.99,"Used","1","Unknown","Black","32","iPad 1",1,10360,"Train"
"",1,75,"Used","1","AT&T","Black","64","iPad 1",1,10361,"Train"
"4 of 5. This item is gently used. The item shows minor signs of wear and tear including scuff marks ",0,189.99,"Used","1","AT&T","Unknown","16","iPad mini",0,10362,"Train"
"This Apple iPad Air 1st Gen 32GB is in good condition with few cosmetic flaws. Comes &amp; sold as is ",1,149.99,"Used","0","None","Unknown","32","iPad Air",1,10363,"Train"
"",1,75,"Used","1","AT&T","White","64","iPad 1",1,10364,"Train"
"Comes with the OEM box, charger, and all OEM packaging &#039;as new&#039;.  Used but in excellent condition.",1,1,"Used","1","Verizon","Black","16","iPad mini",1,10365,"Train"
"",0,99.99,"Used","1","Unknown","Unknown","32","iPad 1",0,10366,"Train"
"",0,199.99,"New other (see details)","0","None","Unknown","16","iPad mini",1,10367,"Train"
"",1,149.99,"Used","0","None","Unknown","16","iPad mini",1,10368,"Train"
"",0,339,"Seller refurbished","1","Verizon","White","64","iPad 3",0,10369,"Train"
"",1,99,"Used","0","None","Space Gray","16","iPad mini 2",1,10370,"Train"
"",1,0.99,"Used","0","None","Unknown","16","iPad 2",1,10371,"Train"
"",1,75,"Used","0","None","Black","16","iPad 2",1,10372,"Train"
"",1,120,"Used","0","None","Black","32","iPad 3",1,10373,"Train"
"Like new, barely used",0,185.49,"Used","0","None","Space Gray","16","iPad mini",0,10374,"Train"
"",0,350,"New","0","None","White","64","iPad mini",1,10375,"Train"
"",1,150,"Used","1","AT&T","White","16","iPad 4",1,10376,"Train"
"",0,179.96,"Used","0","None","Space Gray","16","iPad mini",0,10377,"Train"
"",1,242,"Used","1","Verizon","Unknown","32","iPad Air",1,10378,"Train"
"Tested, Faulty Wi-Fi. See Pictures. Minor Dent on 2 Corners. Scuffs on Casing/Screen. Power Supply ",1,9.99,"Used","0","None","Unknown","16","iPad 2",1,10379,"Train"
"",1,50,"Used","0","None","Black","16","iPad 2",1,10380,"Train"
"",0,389.99,"Used","0","None","Space Gray","16","iPad Air 2",1,10381,"Train"
"",0,95,"Used","0","None","Unknown","32","iPad 1",0,10382,"Train"
"This iPad Is In Fantastic Condition. It Performs Flawlessly. Includes Accessories. See Below For ",1,264.95,"Used","0","None","Black","32","iPad 4",0,10383,"Train"
"Great condition and lightly used!",1,75,"Used","0","None","Unknown","16","iPad mini",1,10384,"Train"
"",0,15,"Used","0","None","Black","16","Unknown",0,10385,"Train"
"Good condition, minor nick on right uppser corner",0,165,"Used","Unknown","Unknown","Black","32","Unknown",0,10386,"Train"
"Great shape, gently used, normal wear and tear",1,49.99,"Used","0","None","Unknown","32","iPad 1",1,10387,"Train"
"Used. Absolute must-have. Some signs of use. See photos. Comes from a smoke free and pet free home. ",1,187,"Used","0","None","Unknown","32","iPad Air",1,10388,"Train"
"Working condition!",1,100,"Used","Unknown","Unknown","Black","Unknown","Unknown",1,10389,"Train"
"",0,15,"Used","0","None","Black","16","Unknown",0,10390,"Train"
"",1,29.99,"Used","1","Verizon","Black","32","iPad 2",1,10391,"Train"
"",1,150,"New","0","None","White","16","iPad mini",1,10392,"Train"
"",1,71,"Used","0","None","Black","16","iPad 3",1,10393,"Train"
"the iPad is in excellent condition. The Otterbox has some wear and tear, I took a picture of a piece ",0,200,"Used","1","AT&T","Unknown","16","iPad 3",1,10394,"Train"
"",1,90,"Used","1","Verizon","White","16","iPad 2",1,10395,"Train"
"",1,150,"Used","0","None","White","16","iPad 2",1,10396,"Train"
"Slight scratches and scuffs, Customize Blue Screen",1,0.99,"Seller refurbished","0","None","Unknown","16","iPad 2",1,10397,"Train"
"",1,0.99,"New","1","Unknown","Space Gray","16","iPad Air 2",1,10398,"Train"
"",1,299,"New other (see details)","0","None","Unknown","16","iPad Air 2",1,10399,"Train"
"",1,30,"Used","1","Unknown","Unknown","64","iPad 1",1,10400,"Train"
"",1,0.99,"Manufacturer refurbished","0","None","Unknown","16","iPad 4",1,10401,"Train"
"Good condition fully functional. Does show some signs of wear but these were used in corporate ",1,0.01,"Used","1","AT&T","Unknown","16","iPad 2",1,10402,"Train"
"",1,0.99,"Used","1","Sprint","Black","32","iPad Air",1,10403,"Train"
"THIS IS USED HAS VERY LITTLE WEAR HAS A SCREEN PROTECTION PLEASE LOOK AT PICTURE",1,179,"Used","1","Unknown","Black","16","iPad mini",0,10404,"Train"
"",1,75,"Used","0","None","Unknown","32","iPad 1",1,10405,"Train"
"Minor scratches along the side. Screen in good condition.",1,70,"Used","0","None","Unknown","16","iPad mini",1,10406,"Train"
"Like new. Has been in case and has screen protector since day one. not a scratch on it.",1,99.99,"Used","0","None","White","32","iPad 2",1,10407,"Train"
"",1,99.99,"Used","0","None","Black","16","iPad 2",1,10408,"Train"
"Excellent Pre-owned Condition, Barely Used. No cracks or major scratches.",0,175,"Used","0","None","White","16","iPad 2",0,10409,"Train"
"",1,400,"New","1","Unknown","Gold","64","iPad mini 3",1,10410,"Train"
"",1,150,"Used","0","None","Unknown","16","iPad mini",1,10411,"Train"
"",1,90,"Used","0","None","White","16","iPad 2",1,10412,"Train"
"",1,120,"Used","0","None","White","16","iPad mini 2",0,10413,"Train"
"",0,280,"Used","1","Unknown","Black","16","iPad 4",0,10414,"Train"
"",1,33,"Used","0","None","Unknown","16","iPad 1",1,10415,"Train"
"",1,89.99,"Used","0","None","White","16","iPad 3",0,10416,"Train"
"In perfect working order. No scratches, dents, cracks, etc.",1,115,"Used","0","None","Black","16","iPad 4",1,10417,"Train"
"",1,130,"Used","1","Verizon","White","32","iPad 2",1,10418,"Train"
"Like New!!!",1,9.5,"Used","0","None","Unknown","64","iPad 1",1,10419,"Train"
"THIS ITEM WAS A STORE DEMO BUT HAS 100% BEEN RESTORED TO FACTORY SETTINGS AND IS READY FOR USE. DOES ",1,0.99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",1,10420,"Train"
"",1,0.99,"Seller refurbished","Unknown","Unknown","Unknown","Unknown","Unknown",1,10421,"Train"
"",1,0.99,"Used","0","None","Unknown","16","Unknown",1,10422,"Train"
"",1,350,"Used","1","Verizon","Unknown","32","iPad 4",0,10423,"Train"
"Grade B refurbished.  No factory packaging.  Small dent in side casing (see photos).  Several ",0,249.99,"Manufacturer refurbished","1","Verizon","Black","16","iPad 4",0,10424,"Train"
"Device is a 9/10 in fantastic condition. Has been gently used and always used in case. Both cases ",1,200,"Used","0","None","White","16","iPad 4",1,10425,"Train"
"This TAB is in good condition with minor scratches on the housing or screen (does not affect ",0,310,"Used","1","Unknown","White","64","iPad 4",0,10426,"Train"
"",1,245,"Used","1","Verizon","Unknown","32","iPad Air",1,10427,"Train"
"",0,458,"New","1","Sprint","White","128","iPad mini 2",0,10428,"Train"
"This used TAB is in good condition with minor scratches on the housing or screen (when the phone is ",0,265,"Used","1","Unknown","White","16","iPad 4",0,10429,"Train"
"",1,89,"Used","1","Unknown","White","64","iPad 1",1,10430,"Train"
"",1,0.99,"Used","1","Verizon","Unknown","32","iPad 3",1,10431,"Train"
"*FREE* Same-Day Ship | Factory Refurbished | 90-Day Warranty | 100% Functional, Includes All Major ",0,228.59,"Manufacturer refurbished","1","AT&T","Black","64","iPad 2",0,10432,"Train"
"",0,249.97,"Manufacturer refurbished","0","None","Black","16","iPad 3",0,10433,"Train"
"This iPad is working and is tested 100%. It runs great. It is in good condition but very small light ",0,249.99,"Used","0","None","Unknown","16","iPad 4",0,10434,"Train"
"",1,250,"Used","1","AT&T","Black","64","iPad 3",1,10435,"Train"
"2 months old in perfect condition. Still under apple warranty. Black Apple Smart Case included.",0,500,"Used","0","None","Space Gray","64","iPad Air 2",1,10436,"Train"
"no scratches or cosmetic defects",1,100,"Used","0","None","White","64","iPad mini",1,10437,"Train"
"",1,1,"New","0","None","Gold","64","iPad Air 2",1,10438,"Train"
"",1,299,"Used","0","None","White","32","iPad Air",1,10439,"Train"
"Brand-new condition no box has charger cord is in mint condition has had a screen protector and a ",0,340,"New other (see details)","0","None","Unknown","16","iPad 2",0,10440,"Train"
